2013-05-28 10:52:20,299 [10] WARN  umbraco.MacroEngines.DynamicNode - [Thread 12] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 10:52:20,300 [10] WARN  umbraco.MacroEngines.DynamicNode - [Thread 12] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 10:59:42,957 [10] WARN  umbraco.MacroEngines.DynamicNode - [Thread 5] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 10:59:42,958 [10] WARN  umbraco.MacroEngines.DynamicNode - [Thread 5] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 10:59:42,958 [10] WARN  umbraco.MacroEngines.DynamicNode - [Thread 5] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 10:59:42,958 [10] WARN  umbraco.MacroEngines.DynamicNode - [Thread 5] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 10:59:58,373 [10] INFO  umbraco.BasePages.BasePage - [Thread 21] User admin (Id: 0) logged in
2013-05-28 11:00:00,514 [10] INFO  Umbraco.Core.PluginManager - [Thread 19] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 22ms)
2013-05-28 11:15:18,824 [10] INFO  umbraco.BusinessLogic.Log - [Thread 22] Log scrubbed.  Removed all items older than 2013-03-29 11:15:18
2013-05-28 11:15:18,837 [10] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 22] Application shutdown. Reason: ConfigurationChange
2013-05-28 11:15:22,869 [7] INFO  Umbraco.Core.CoreBootManager - [Thread 13] Umbraco application starting
2013-05-28 11:15:22,914 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Determining hash of code files on disk
2013-05-28 11:15:22,929 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Hash determined (took 12ms)
2013-05-28 11:15:23,339 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 391ms)
2013-05-28 11:15:23,393 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of Umbraco.Core.Models.IMacroPropertyType, found 0 (took 7ms)
2013-05-28 11:15:23,400 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
2013-05-28 11:15:23,407 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
2013-05-28 11:15:23,419 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 5ms)
2013-05-28 11:15:23,426 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2013-05-28 11:15:23,565 [7] INFO  Umbraco.Core.CoreBootManager - [Thread 13] Umbraco application startup complete (took 683ms)
2013-05-28 11:15:23,843 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 11ms)
2013-05-28 11:15:23,921 [7] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 7ms)
2013-05-28 11:15:24,072 [7] INFO  umbraco.BusinessLogic.Log - [Thread 36] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: -1 | Comment: [UmbracoExamine] Adding examine event handlers for index providers: 4
2013-05-28 11:23:33,260 [7] INFO  umbraco.BusinessLogic.Log - [Thread 26] Log scrubbed.  Removed all items older than 2013-03-29 11:23:33
2013-05-28 11:23:33,260 [7] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 26] Application shutdown. Reason: HostingEnvironment
2013-05-28 13:24:09,977 [5] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2013-05-28 13:24:10,086 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-05-28 13:24:10,102 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 19ms)
2013-05-28 13:24:10,538 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 403ms)
2013-05-28 13:24:10,601 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Models.IMacroPropertyType, found 0 (took 9ms)
2013-05-28 13:24:10,601 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
2013-05-28 13:24:10,616 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
2013-05-28 13:24:10,648 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 8ms)
2013-05-28 13:24:10,648 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 7ms)
2013-05-28 13:24:10,944 [5] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application startup complete (took 953ms)
2013-05-28 13:24:11,865 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 36ms)
2013-05-28 13:24:11,958 [5] INFO  umbraco.BusinessLogic.Log - [Thread 6] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: -1 | Comment: [UmbracoExamine] Adding examine event handlers for index providers: 4
2013-05-28 13:24:12,068 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 6ms)
2013-05-28 13:24:12,598 [5] INFO  umbraco.content - [Thread 6] Loading content from disk cache...
2013-05-28 13:24:16,000 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 4 (took 5ms)
2013-05-28 13:24:16,905 [5] INFO  umbraco.BasePages.BasePage - [Thread 10] User admin (Id: 0) logged in
2013-05-28 13:24:18,606 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.IDataType, found 77 (took 10ms)
2013-05-28 13:24:18,715 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.ITree, found 39 (took 7ms)
2013-05-28 13:24:18,809 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.MacroEngines.IRazorDataTypeModel, found 15 (took 13ms)
2013-05-28 13:24:19,823 [5] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 5ms)
2013-05-28 13:24:21,212 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:24:21,227 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:24:21,227 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:24:21,227 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:27:39,591 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 32] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:27:39,606 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 32] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:27:39,606 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 32] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:27:39,606 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 32] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:32:11,440 [5] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'Security Service Specialists' with Id '1077' has been published.
2013-05-28 13:32:11,737 [5] ERROR umbraco.presentation.nodeFactory.UmbracoSiteMapProvider - [Thread 31] Error adding node 1077 to SiteMapProvider in loadNodes()
System.InvalidOperationException: Multiple nodes with the same URL '/' were found. XmlSiteMapProvider requires that sitemap nodes have unique URLs.
   at System.Web.StaticSiteMapProvider.AddNode(SiteMapNode node, SiteMapNode parentNode)
   at umbraco.presentation.nodeFactory.UmbracoSiteMapProvider.loadNodes(String parentId, SiteMapNode parentNode)
2013-05-28 13:32:46,049 [5] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'Security Service Specialists' with Id '1077' has been published.
2013-05-28 13:33:55,501 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 29] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:33:55,501 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 29] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:33:55,501 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 29] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:33:55,501 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 29] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:35:45,195 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 31] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:35:45,195 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 31] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:35:45,195 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 31] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:35:45,195 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 31] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:36:01,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:36:01,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
